product_name,current_price,price,percent_discount,rating,link,brand_id,series,genre_name
HP EliteBook 840 G9 i5 1240P (6Z969PA),29.690.000₫,29.990.000₫,,,https://www.thegioididong.com/laptop/hp-elitebook-840-g9-i5-6z969pa,01,EliteBook,laptop
HP Elitebook 630 G9 i5 1235U (6M143PA),18.390.000₫,22.190.000₫,-17%,21,https://www.thegioididong.com/laptop/hp-elitebook-630-g9-i5-6m143pa,01,EliteBook,laptop
HP Gaming VICTUS 15 fa0155TX i5 12450H (81P00PA),20.990.000₫,27.990.000₫,-25%,11,https://www.thegioididong.com/laptop/hp-victus-15-fa0155tx-i5-81p00pa,01,Victus,laptop
HP Gaming VICTUS 15 fa0111TX i5 12500H (7C0R4PA),21.990.000₫,28.290.000₫,-22%,10,https://www.thegioididong.com/laptop/hp-victus-15-fa0111tx-i5-7c0r4pa,01,Victus,laptop
HP Gaming VICTUS 16 e1102AX R7 6800H (7C139PA),22.990.000₫,30.990.000₫,-25%,7,https://www.thegioididong.com/laptop/hp-victus-16-e1102ax-r7-7c139pa,01,Victus,laptop
HP Gaming VICTUS 16 e1105AX R5 6600H (7C0T0PA),20.990.000₫,27.990.000₫,-25%,,https://www.thegioididong.com/laptop/hp-victus-16-e1105ax-r5-7c0t0pa,01,Victus,laptop
HP Omen 16 n0085AX R9 6900HX (7C144PA),49.690.000₫,62.890.000₫,-20%,,https://www.thegioididong.com/laptop/hp-omen-16-n0085ax-r9-7c144pa,01,Omen,laptop
HP Omen 16 n0087AX R7 6800H (7C0T7PA),38.990.000₫,50.890.000₫,-23%,,https://www.thegioididong.com/laptop/hp-omen-16-n0087ax-r7-7c0t7pa,01,Omen,laptop
HP 15s fq2716TU i3 1115G4 (7C0X3PA),10.290.000₫,13.690.000₫,-24%,72,https://www.thegioididong.com/laptop/hp-15s-fq2716tu-i3-7c0x3pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 240 G8 i3 1115G4 (6L1A1PA),9.590.000₫,12.990.000₫,-26%,55,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a1pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 15s fq5162TU i5 1235U (7C134PA),15.690.000₫,18.890.000₫,-16%,20,https://www.thegioididong.com/laptop/hp-15s-fq5162tu-i5-7c134pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 240 G9 i5 1235U (6L1Y2PA),15.190.000₫,18.590.000₫,-18%,36,https://www.thegioididong.com/laptop/hp-240-g9-i5-6l1y2pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 15s fq5147TU i7 1255U (7C133PA),17.790.000₫,20.890.000₫,,,https://www.thegioididong.com/laptop/hp-15s-fq5147tu-i7-7c133pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 240 G9 i5 1235U (6L1Y1PA),14.490.000₫,17.590.000₫,-17%,24,https://www.thegioididong.com/laptop/hp-240-g9-i5-6l1y1pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 245 G10 R5 7520U (8F155PA),12.190.000₫,14.190.000₫,-14%,,https://www.thegioididong.com/laptop/hp-245-g10-r5-8f155pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 245 G9 R5 5625U (6L1N9PA),11.190.000₫,13.990.000₫,-20%,16,https://www.thegioididong.com/laptop/hp-245-g9-r5-6l1n9pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 15s fq5229TU i3 1215U (8U237PA),11.290.000₫,13.690.000₫,-17%,,https://www.thegioididong.com/laptop/hp-15s-fq5229tu-i3-8u237pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 240 G9 i3 1215U (6L1X7PA),10.690.000₫,12.990.000₫,,,https://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x7pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 15s fq5078TU i5 1235U (6K798PA),15.190.000₫,18.190.000₫,-16%,44,https://www.thegioididong.com/laptop/hp-15s-fq5078tu-i5-6k798pa,01,"Cơ bản (15s, 240, 245)",laptop
HP 15s fq5077TU i7 1255U (6K797PA),16.790.000₫,20.290.000₫,-17%,43,https://www.thegioididong.com/laptop/hp-15s-fq5077tu-i7-6k797pa,01,"Cơ bản (15s, 240, 245)",laptop
HP ZBook Firefly 16 G10 i7 1355U (740J1AV),51.090.000₫,51.490.000₫,,,https://www.thegioididong.com/laptop/hp-zbook-firefly-16-g10-i7-740j1av,01,ZBook,laptop
Asus Vivobook X515EA i3 1115G4 (EJ3948W),9.690.000₫,11.990.000₫,-19%,22,https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i3-ej3948w,02,VivoBook,laptop
Asus Vivobook 15 X1504VA i5 1335U (NJ025W),15.190.000₫,17.990.000₫,-15%,9,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-nj025w,02,VivoBook,laptop
Asus Vivobook 15 OLED A1505VA i5 13500H (L1052W),16.690.000₫,20.490.000₫,-18%,19,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1052w,02,VivoBook,laptop
Asus Vivobook Go 15 E1504FA R5 7520U (NJ630W),12.190.000₫,13.990.000₫,-12%,12,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj630w,02,VivoBook,laptop
Asus VivoBook X515MA N4020 (BR480W),6.190.000₫,7.890.000₫,-21%,54,https://www.thegioididong.com/laptop/asus-vivobook-x515ma-n4020-br480w,02,VivoBook,laptop
Asus Vivobook X415EA i3 1115G4 (EK2034W),9.190.000₫,11.490.000₫,-20%,28,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-ek2034w,02,VivoBook,laptop
Asus Vivobook 15 X1504VA i7 1355U (NJ023W),18.690.000₫,22.990.000₫,-18%,6,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-nj023w,02,VivoBook,laptop
Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W),17.690.000₫,20.990.000₫,-15%,,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1341w,02,VivoBook,laptop
Asus Vivobook 16 X1605VA i5 1335U (MB360W),16.690.000₫,18.990.000₫,-12%,6,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w,02,VivoBook,laptop
Asus Vivobook 14X OLED A1405ZA i5 12500H (KM146W),16.190.000₫,19.490.000₫,-16%,11,https://www.thegioididong.com/laptop/asus-vivobook-14x-oled-a1405za-i5-km146w,02,VivoBook,laptop
Asus Vivobook S 14 Flip TP3402VA i5 13500H (LZ031W),19.690.000₫,21.990.000₫,-10%,12,https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i5-lz031w,02,VivoBook,laptop
Asus Vivobook 14 X1402ZA i5 1240P (EK083W),13.990.000₫,18.490.000₫,-24%,34,https://www.thegioididong.com/laptop/asus-vivobook-14-x1402za-i5-ek083w,02,VivoBook,laptop
Asus Vivobook 14 X1404VA i5 1335U (NK123W),14.690.000₫,17.990.000₫,-18%,7,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk123w,02,VivoBook,laptop
